year,rank,title,artist
2000,64,I Wish,Carl Thomas
2000,65,U Know What's Up,Donell Jones
2000,66,Faded,soulDecision featuring Thrust
2000,67,Only God Knows Why,Kid Rock
2000,68,Shake Ya Ass,Mystikal
2000,69,Bag Lady,Erykah Badu
2000,70,Meet Virginia,Train
2000,71,Party Up (Up in Here),DMX
2000,72,Case of the Ex (Whatcha Gonna Do),Mýa
2000,73,Forgot About Dre,Dr. Dre featuring Eminem
2000,74,That's the Way,Jo Dee Messina
2000,75,Swear It Again,Westlife
2000,76,The Next Episode,Dr. Dre featuring Snoop Dogg
2000,77,From the Bottom of My Broken Heart,Britney Spears
2000,78,Crash and Burn,Savage Garden
2000,79,Yes!,Chad Brock
2000,80,The Best Day,George Strait
2000,81,Where I Wanna Be,Donell Jones
2000,82,How Do You Like Me Now?!,Toby Keith
2000,83,My Best Friend,Tim McGraw
2000,84,Broadway,Goo Goo Dolls
2000,85,What'chu Like,Da Brat featuring Tyrese
2000,86,Don't Think I'm Not,Kandi
2000,87,I Hope You Dance,Lee Ann Womack with Sons of the Desert
2000,88,Better Off Alone,Alice Deejay
2000,89,Dance with Me,Debelah Morgan
2000,90,What About Now,Lonestar
2000,91,I Like It,Sammie
2000,92,24/7,Kevon Edmonds
2000,93,Girl on TV,LFO
2000,94,Bounce with Me,Lil' Bow Wow featuring Xscape
2000,95,Cowboy Take Me Away,Dixie Chicks
2000,96,I Don't Wanna,Aaliyah
2000,97,Independent Women Part I,Destiny's Child
2000,98,Gotta Tell You,Samantha Mumba
2000,99,Waiting for Tonight,Jennifer Lopez
2000,100,Shackles (Praise You),Mary Mary
2001,1,Hanging by a Moment,Lifehouse
2001,2,Fallin',Alicia Keys
2001,3,All for You,Janet Jackson
2001,4,Drops of Jupiter (Tell Me),Train
2001,5,I'm Real (Murder Remix),Jennifer Lopez featuring Ja Rule
2001,6,If You're Gone,Matchbox Twenty
2001,7,Let Me Blow Ya Mind,Eve featuring Gwen Stefani
2001,8,Thank You,Dido
2001,9,Again,Lenny Kravitz
2001,10,Independent Women Part I,Destiny's Child
2001,11,Hit 'Em Up Style (Oops!),Blu Cantrell
2001,12,It Wasn't Me,Shaggy featuring Rikrok
2001,13,Stutter,Joe featuring Mystikal
2001,14,It's Been Awhile,Staind
2001,15,U Remind Me,Usher
2001,16,Where the Party At,Jagged Edge with Nelly
2001,17,Angel,Shaggy featuring Rayvon
2001,18,Ride wit Me,Nelly featuring City Spud
2001,19,Follow Me,Uncle Kracker
2001,20,Peaches & Cream,112
2001,21,Drive,Incubus
2001,22,What Would You Do?,City High
2001,23,Survivor,Destiny's Child
2001,24,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa and Pink"
2001,25,Ms. Jackson,Outkast
2001,26,Love Don't Cost a Thing,Jennifer Lopez
2001,27,The Way You Love Me,Faith Hill
2001,28,He Loves U Not,Dream
2001,29,Butterfly,Crazy Town
2001,30,Put It on Me,Ja Rule featuring Lil' Mo and Vita
2001,31,Family Affair,Mary J. Blige
2001,32,I Hope You Dance,Lee Ann Womack
2001,33,South Side,Moby featuring Gwen Stefani
2001,34,Don't Tell Me,Madonna
2001,35,Get Ur Freak On,Missy Elliott
2001,36,Crazy,K-Ci & JoJo
2001,37,Fill Me In,Craig David
2001,38,Someone to Call My Lover,Janet Jackson
2001,39,With Arms Wide Open,Creed
2001,40,Case of the Ex (Whatcha Gonna Do),Mýa
2001,41,All or Nothing,O-Town
2001,42,Bootylicious,Destiny's Child
2001,43,I'm Like a Bird,Nelly Furtado
2001,44,Kryptonite,3 Doors Down
2001,45,Fiesta,R. Kelly featuring Jay-Z
2001,46,When It's Over,Sugar Ray
2001,47,Jaded,Aerosmith
2001,48,Promise,Jagged Edge
2001,49,Missing You,Case
2001,50,Differences,Ginuwine
2001,51,This I Promise You,NSYNC
2001,52,Izzo (H.O.V.A.),Jay-Z
2001,53,Superwoman Pt. II,Lil' Mo featuring Fabolous
2001,54,Crazy for This Girl,Evan and Jaron
2001,55,Nobody Wants to Be Lonely,Ricky Martin and Christina Aguilera
2001,56,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001,57,One Minute Man,Missy Elliott featuring Ludacris
2001,58,Danger (Been So Long),Mystikal featuring Nivea
2001,59,Only Time,Enya
2001,60,I Do!!,Toya
2001,61,Never Had a Dream Come True,S Club 7
2001,62,Stranger in My House,Tamia
2001,63,Irresistible,Jessica Simpson
2001,64,Heard It All Before,Sunshine Anderson
2001,65,The Space Between,Dave Matthews Band
2001,66,There You'll Be,Faith Hill
2001,67,Love,Musiq Soulchild
2001,68,It's Over Now,112
2001,69,No More (Baby I'ma Do Right),3LW
2001,70,Turn Off the Light,Nelly Furtado
2001,71,Ain't Nothing 'bout You,Brooks & Dunn
2001,72,Play,Jennifer Lopez
2001,73,I'm Already There,Lonestar
2001,74,My Baby,Lil' Romeo
2001,75,Beautiful Day,U2
2001,76,Austin,Blake Shelton
2001,77,Southern Hospitality,Ludacris
2001,78,Grown Men Don't Cry,Tim McGraw
2001,79,Livin' It Up,Ja Rule featuring Case
2001,80,Loverboy,Mariah Carey featuring Cameo
2001,81,Contagious,The Isley Brothers featuring R. Kelly and Chanté Moore
2001,82,Who I Am,Jessica Andrews
2001,83,Music,Erick Sermon featuring Marvin Gaye
2001,84,I Wanna Be Bad,Willa Ford
2001,85,Don't Happen Twice,Kenny Chesney
2001,86,One More Day,Diamond Rio
2001,87,I Wish,R. Kelly
2001,88,It's a Great Day to Be Alive,Travis Tritt
2001,89,I'm a Thug,Trick Daddy
2001,90,Here's to the Night,Eve 6
2001,91,You Shouldn't Kiss Me Like This,Toby Keith
2001,92,Get Over Yourself,Eden's Crush
2001,93,Dance with Me,Debelah Morgan
2001,94,"So Fresh, So Clean",Outkast
2001,95,E.I.,Nelly
2001,96,Be Like That,3 Doors Down
2001,97,Most Girls,Pink
2001,98,Oochie Wally,QB Finest featuring Nas and Bravehearts
2001,99,Hero,Enrique Iglesias
2001,100,Hemorrhage (In My Hands),Fuel
2002,1,How You Remind Me,Nickelback
2002,2,Foolish,Ashanti
2002,3,Hot in Herre,Nelly
2002,4,Dilemma,Nelly featuring Kelly Rowland
2002,5,Wherever You Will Go,The Calling
2002,6,A Thousand Miles,Vanessa Carlton
2002,7,In the End,Linkin Park
2002,8,What's Luv?,Fat Joe featuring Ashanti
2002,9,U Got It Bad,Usher
2002,10,Blurry,Puddle of Mudd
2002,11,Complicated,Avril Lavigne
2002,12,Always on Time,Ja Rule featuring Ashanti
2002,13,Ain't It Funny (Murder Remix),Jennifer Lopez featuring Ja Rule
2002,14,The Middle,Jimmy Eat World
2002,15,I Need a Girl (Part One),P. Diddy featuring Usher and Loon
2002,16,U Don't Have to Call,Usher
2002,17,Family Affair,Mary J. Blige
2002,18,I Need a Girl (Part Two),"P. Diddy featuring Ginuwine, Loon and Mario Winans"
2002,19,Gangsta Lovin',Eve featuring Alicia Keys
2002,20,My Sacrifice,Creed
2002,21,Without Me,Eminem
2002,22,Hero,Enrique Iglesias
2002,23,All You Wanted,Michelle Branch
2002,24,Get the Party Started,Pink
2002,25,Hero,Chad Kroeger featuring Josey Scott
2002,26,Wasting My Time,Default
2002,27,One Last Breath,Creed
2002,28,"Whenever, Wherever",Shakira
2002,29,I'm Gonna Be Alright,Jennifer Lopez featuring Nas
2002,30,Oh Boy,Cam'ron featuring Juelz Santana
2002,31,Heaven,DJ Sammy featuring Yanou and Do
2002,32,Hey Baby,No Doubt featuring Bounty Killer
2002,33,Girlfriend,NSYNC featuring Nelly
2002,34,Just a Friend 2002,Mario
2002,35,Soak Up the Sun,Sheryl Crow
2002,36,Don't Let Me Get Me,Pink
2002,37,Nothin',N.O.R.E.
2002,38,Oops (Oh My),Tweet featuring Missy Elliott
2002,39,A Moment Like This,Kelly Clarkson
2002,40,Addictive,Truth Hurts featuring Rakim
2002,41,Happy,Ashanti
2002,42,No Such Thing,John Mayer
2002,43,Just Like a Pill,Pink
2002,44,Down 4 U,"Ja Rule featuring Ashanti, Charli Baltimore and Vita"
2002,45,Can't Get You Out of My Head,Kylie Minogue
2002,46,Superman (It's Not Easy),Five for Fighting
2002,47,Cleanin' Out My Closet,Eminem
2002,48,Halfcrazy,Musiq Soulchild
2002,49,"Lights, Camera, Action!",Mr. Cheeks
2002,50,Still Fly,Big Tymers
2002,51,A Woman's Worth,Alicia Keys
2002,52,7 Days,Craig David
2002,53,Hey Ma,Cam'ron featuring Juelz Santana and Freekey Zekey
2002,54,Work It,Missy Elliott
2002,55,Move Bitch,Ludacris featuring Mystikal and I-20
2002,56,Can't Fight the Moonlight,LeAnn Rimes
2002,57,Escape,Enrique Iglesias
2002,58,More Than A Woman,Aaliyah
2002,59,Hella Good,No Doubt
2002,60,I Love You,Faith Evans
2002,61,Gotta Get thru This,Daniel Bedingfield
2002,62,"Pass the Courvoisier, Part II",Busta Rhymes featuring P. Diddy and Pharrell
2002,63,Lose Yourself,Eminem
2002,64,Butterflies,Michael Jackson
2002,65,What About Us?,Brandy
2002,66,Underneath Your Clothes,Shakira
2002,67,Rainy Dayz,Mary J. Blige featuring Ja Rule
2002,68,Differences,Ginuwine
2002,69,If I Could Go!,Angie Martinez featuring Lil' Mo and Sacario
2002,70,The Whole World,Outkast featuring Killer Mike
2002,71,Underneath It All,No Doubt featuring Lady Saw
2002,72,Caramel,City High featuring Eve
2002,73,Luv U Better,LL Cool J
2002,74,Gimme the Light,Sean Paul
2002,75,Gone,NSYNC
2002,76,Livin' It Up,Ja Rule featuring Case
2002,77,Rollout (My Business),Ludacris
2002,78,Here Is Gone,Goo Goo Dolls
2002,79,No More Drama,Mary J. Blige
2002,80,Days Go By,Dirty Vegas
2002,81,Baby,Ashanti
2002,82,The Good Stuff,Kenny Chesney
2002,83,We Thuggin',Fat Joe featuring R. Kelly
2002,84,Good Morning Beautiful,Steve Holy
2002,85,Rock the Boat,Aaliyah
2002,86,Drive (For Daddy Gene),Alan Jackson
2002,87,Standing Still,Jewel
2002,88,Anything,Jaheim featuring Next
2002,89,Full Moon,Brandy
2002,90,Uh Huh,B2K
2002,91,A New Day Has Come,Celine Dion
2002,92,Turn Off the Light,Nelly Furtado
2002,93,Living and Living Well,George Strait
2002,94,My List,Toby Keith
2002,95,Hands Clean,Alanis Morissette
2002,96,Sk8er Boi,Avril Lavigne
2002,97,Long Time Gone,Dixie Chicks
2002,98,Where Were You (When the World Stopped Turning),Alan Jackson
2002,99,Like I Love You,Justin Timberlake
2002,100,I Do!!,Toya
2003,1,In da Club,50 Cent
2003,2,Ignition (Remix),R. Kelly
2003,3,Get Busy,Sean Paul
2003,4,Crazy in Love,Beyoncé featuring Jay-Z
2003,5,When I'm Gone,3 Doors Down
2003,6,Unwell,Matchbox Twenty
2003,7,Right Thurr,Chingy
2003,8,Miss You,Aaliyah
2003,9,Picture,Kid Rock featuring Sheryl Crow
2003,10,Bring Me to Life,Evanescence featuring Paul McCoy
2003,11,Get Low,Lil Jon & The East Side Boyz featuring Ying Yang Twins
2003,12,Baby Boy,Beyoncé featuring Sean Paul
2003,13,Shake Ya Tailfeather,"Nelly, P. Diddy and Murphy Lee"
2003,14,21 Questions,50 Cent featuring Nate Dogg
2003,15,All I Have,Jennifer Lopez featuring LL Cool J
2003,16,Beautiful,Christina Aguilera
2003,17,I Know What You Want,Busta Rhymes and Mariah Carey featuring Flipmode Squad
2003,18,I'm with You,Avril Lavigne
2003,19,Drift Away,Uncle Kracker featuring Dobie Gray
2003,20,Magic Stick,Lil' Kim featuring 50 Cent
2003,21,P.I.M.P.,50 Cent
2003,22,"Bump, Bump, Bump",B2K and P. Diddy
2003,23,Into You,Fabolous featuring Tamia
2003,24,Can't Let You Go,Fabolous featuring Lil' Mo and Mike Shorey
2003,25,Mesmerize,Ja Rule featuring Ashanti
2003,26,Where Is the Love?,Black Eyed Peas
2003,27,The Game of Love,Santana featuring Michelle Branch
2003,28,Lose Yourself,Eminem
2003,29,Rock wit U (Awww Baby),Ashanti
2003,30,Cry Me a River,Justin Timberlake
2003,31,How You Gonna Act Like That,Tyrese
2003,32,Rock Your Body,Justin Timberlake
2003,33,No Letting Go,Wayne Wonder
2003,34,Frontin',Pharrell featuring Jay-Z
2003,35,Landslide,Dixie Chicks
2003,36,Work It,Missy Elliott
2003,37,'03 Bonnie & Clyde,Jay-Z featuring Beyoncé
2003,38,Don't Mess with My Man,Nivea featuring Jagged Edge
2003,39,So Gone,Monica
2003,40,Air Force Ones,"Nelly featuring Murphy Lee, Ali, and Kyjuan"
2003,41,"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee
2003,42,Beautiful,Snoop Dogg featuring Pharrell and Charlie Wilson
2003,43,Gossip Folks,Missy Elliott featuring Ludacris
2003,44,Miss Independent,Kelly Clarkson
2003,45,Calling All Angels,Train
2003,46,Damn!,YoungBloodZ featuring Lil Jon
2003,47,This Is the Night,Clay Aiken
2003,48,Your Body Is a Wonderland,John Mayer
2003,49,Headstrong,Trapt
2003,50,In Those Jeans,Ginuwine
2003,51,Stand Up,Ludacris featuring Shawnna
2003,52,The Remedy (I Won't Worry),Jason Mraz
2003,53,Why Don't You & I,Santana featuring Alex Band
2003,54,Excuse Me Miss,Jay-Z
2003,55,Jenny from the Block,Jennifer Lopez featuring Jadakiss and Styles P
2003,56,Are You Happy Now?,Michelle Branch
2003,57,Forever and for Always,Shania Twain
2003,58,I Can,Nas
2003,59,Underneath It All,No Doubt featuring Lady Saw
2003,60,If You're Not the One,Daniel Bedingfield
2003,61,Thoia Thoing,R. Kelly
2003,62,Here Without You,3 Doors Down
2003,63,Wanksta,50 Cent
2003,64,My Love Is Like...Wo,Mýa
2003,65,It's Five O'Clock Somewhere,Alan Jackson featuring Jimmy Buffett
2003,66,Like Glue,Sean Paul
2003,67,Can't Hold Us Down,Christina Aguilera featuring Lil' Kim
2003,68,My Front Porch Looking In,Lonestar
2003,69,Angel,Amanda Perez
2003,70,She Hates Me,Puddle of Mudd
2003,71,Don't Wanna Try,Frankie J
2003,72,The Jump Off,Lil' Kim featuring Mr. Cheeks
2003,73,Intuition,Jewel
2003,74,Hell Yeah,Ginuwine featuring Baby
2003,75,Beer for My Horses,Toby Keith featuring Willie Nelson
2003,76,Holidae In,Chingy featuring Ludacris and Snoop Dogg
2003,77,Suga Suga,Baby Bash featuring Frankie J
2003,78,Love of My Life (An Ode to Hip-Hop),Erykah Badu featuring Common
2003,79,Fighter,Christina Aguilera
2003,80,Thugz Mansion,2Pac
2003,81,Clocks,Coldplay
2003,82,Put That Woman First,Jaheim
2003,83,Rain on Me,Ashanti
2003,84,19 Somethin',Mark Wills
2003,85,"Can't Stop, Won't Stop",Young Gunz
2003,86,Red Dirt Road,Brooks & Dunn
2003,87,What Was I Thinkin',Dierks Bentley
2003,88,Flying Without Wings,Ruben Studdard
2003,89,Sing for the Moment,Eminem
2003,90,Have You Forgotten?,Darryl Worley
2003,91,"No Shoes, No Shirt, No Problems",Kenny Chesney
2003,92,Come Over,Aaliyah
2003,93,Sick of Being Lonely,Field Mob
2003,94,Step in the Name of Love,R. Kelly
2003,95,I Want You,Thalía featuring Fat Joe
2003,96,Like a Stone,Audioslave
2003,97,Don't Know Why,Norah Jones
2003,98,Superman,Eminem
2003,99,Real Good Man,Tim McGraw
2003,100,Say Yes,Floetry
2004,1,Yeah!,Usher featuring Lil Jon and Ludacris
2004,2,Burn,Usher
2004,3,If I Ain't Got You,Alicia Keys
2004,4,This Love,Maroon 5
2004,5,The Way You Move,OutKast featuring Sleepy Brown
2004,6,The Reason,Hoobastank
2004,7,I Don't Wanna Know,Mario Winans featuring Enya and P. Diddy
2004,8,Hey Ya!,OutKast
2004,9,Goodies,Ciara featuring Petey Pablo
2004,10,Lean Back,Terror Squad featuring Fat Joe and Remy Ma
2004,11,Tipsy,J-Kwon
2004,12,Confessions Part II,Usher
2004,13,Slow Motion,Juvenile featuring Soulja Slim
2004,14,Freek-a-Leek,Petey Pablo
2004,15,Here Without You,3 Doors Down
2004,16,Slow Jamz,Twista featuring Kanye West and Jamie Foxx
2004,17,Someday,Nickelback
2004,18,Naughty Girl,Beyoncé
2004,19,My Immortal,Evanescence
2004,20,Sunshine,Lil' Flip featuring Lea
2004,21,Dirt off Your Shoulder,Jay-Z
2004,22,Move Ya Body,Nina Sky featuring Jabba
2004,23,Dip It Low,Christina Milian
2004,24,My Boo,Usher and Alicia Keys
2004,25,One Call Away,Chingy featuring J-Weav
2004,26,"Me, Myself and I",Beyoncé
2004,27,Turn Me On,Kevin Lyttle featuring Spragga Benz
2004,28,The First Cut Is the Deepest,Sheryl Crow
2004,29,You Don't Know My Name,Alicia Keys
2004,30,My Place,Nelly featuring Jaheim
2004,31,Overnight Celebrity,Twista
2004,32,Hotel,Cassidy featuring R. Kelly
2004,33,Numb,Linkin Park
2004,34,Diary,Alicia Keys featuring Tony! Toni! Toné!
2004,35,She Will Be Loved,Maroon 5
2004,36,White Flag,Dido
2004,37,Heaven,Los Lonely Boys
2004,38,It's My Life,No Doubt
2004,39,Pieces of Me,Ashlee Simpson
2004,40,Leave (Get Out),JoJo
2004,41,Milkshake,Kelis
2004,42,Splash Waterfalls,Ludacris
2004,43,Jesus Walks,Kanye West
2004,44,Locked Up,Akon featuring Styles P
2004,45,Stand Up,Ludacris featuring Shawnna
2004,46,Suga Suga,Baby Bash featuring Frankie J
2004,47,All Falls Down,Kanye West featuring Syleena Johnson
2004,48,Toxic,Britney Spears
2004,49,Salt Shaker,Ying Yang Twins featuring Lil Jon & the East Side Boyz
2004,50,With You,Jessica Simpson
2004,51,Meant to Live,Switchfoot
2004,52,I Like That,"Houston featuring Chingy, Nate Dogg and I-20"
2004,53,Sorry 2004,Ruben Studdard
2004,54,My Happy Ending,Avril Lavigne
2004,55,On Fire,Lloyd Banks
2004,56,Roses,OutKast
2004,57,Walked Outta Heaven,Jagged Edge
2004,58,Lose My Breath,Destiny's Child
2004,59,My Band,D12
2004,60,I'm Still in Love with You,Sean Paul featuring Sasha
2004,61,Through the Wire,Kanye West
2004,62,Why?,Jadakiss featuring Anthony Hamilton
2004,63,Fuck It (I Don't Want You Back),Eamon
2004,64,Read Your Mind,Avant
2004,65,Game Over (Flip),Lil' Flip
2004,66,One Thing,Finger Eleven
2004,67,Headsprung,LL Cool J
2004,68,Damn!,YoungBloodZ featuring Lil Jon
2004,69,Baby Boy,Beyoncé featuring Sean Paul
2004,70,Get Low,Lil Jon & the East Side Boyz featuring Ying Yang Twins
2004,71,Drop It Like It's Hot,Snoop Dogg featuring Pharrell
2004,72,U Should've Known Better,Monica
2004,73,On the Way Down,Ryan Cabrera
2004,74,Breakaway,Kelly Clarkson
2004,75,Why Don't You & I,Santana featuring Alex Band or Chad Kroeger
2004,76,Are You Gonna Be My Girl,Jet
2004,77,100 Years,Five for Fighting
2004,78,Step in the Name of Love,R. Kelly
2004,79,Breaking the Habit,Linkin Park
2004,80,Gigolo,Nick Cannon featuring R. Kelly
2004,81,Live Like You Were Dying,Tim McGraw
2004,82,Remember When,Alan Jackson
2004,83,Everytime,Britney Spears
2004,84,Southside,Lloyd featuring Ashanti
2004,85,Dude,Beenie Man featuring Ms. Thing
2004,86,Wanna Get to Know You,G-Unit featuring Joe
2004,87,Holidae In,Chingy featuring Ludacris and Snoop Dogg
2004,88,Let's Get It Started,The Black Eyed Peas
2004,89,When the Sun Goes Down,Kenny Chesney and Uncle Kracker
2004,90,American Soldier,Toby Keith
2004,91,Change Clothes,Jay-Z
2004,92,Don't Tell Me,Avril Lavigne
2004,93,You'll Think of Me,Keith Urban
2004,94,Happy People,R. Kelly
2004,95,Hey Mama,The Black Eyed Peas
2004,96,Over and Over,Nelly featuring Tim McGraw
2004,97,Redneck Woman,Gretchen Wilson
2004,98,Just Lose It,Eminem
2004,99,Letters from Home,John Michael Montgomery
2004,100,I Go Back,Kenny Chesney
2005,1,We Belong Together,Mariah Carey
2005,2,Hollaback Girl,Gwen Stefani
2005,3,Let Me Love You,Mario
2005,4,Since U Been Gone,Kelly Clarkson
2005,5,"1, 2 Step",Ciara featuring Missy Elliott
2005,6,Gold Digger,Kanye West featuring Jamie Foxx
2005,7,Boulevard of Broken Dreams,Green Day
2005,8,Candy Shop,50 Cent featuring Olivia
2005,9,Don't Cha,The Pussycat Dolls featuring Busta Rhymes
2005,10,Behind These Hazel Eyes,Kelly Clarkson
2005,11,Disco Inferno,50 Cent
2005,12,You and Me,Lifehouse
2005,13,Don't Phunk with My Heart,The Black Eyed Peas
2005,14,Lose Control,Missy Elliott featuring Ciara and Fatman Scoop
2005,15,Shake It Off,Mariah Carey
2005,16,Mr. Brightside,The Killers
2005,17,Just a Lil Bit,50 Cent
2005,18,Pon de Replay,Rihanna
2005,19,How We Do,The Game featuring 50 Cent
2005,20,Beverly Hills,Weezer
2005,21,Oh,Ciara featuring Ludacris
2005,22,Lonely No More,Rob Thomas
2005,23,Drop It Like It's Hot,Snoop Dogg featuring Pharrell
2005,24,Hate It or Love It,The Game featuring 50 Cent
2005,25,Lovers & Friends,Lil Jon & the East Side Boyz featuring Usher and Ludacris
2005,26,Soldier,Destiny's Child featuring T.I. and Lil Wayne
2005,27,Breakaway,Kelly Clarkson
2005,28,Switch,Will Smith
2005,29,Let Me Hold You,Bow Wow featuring Omarion
2005,30,Like You,Bow Wow featuring Ciara
2005,31,Rich Girl,Gwen Stefani featuring Eve
2005,32,My Humps,The Black Eyed Peas
2005,33,Obsession (No Es Amor),Frankie J featuring Baby Bash
2005,34,Caught Up,Usher
2005,35,Listen to Your Heart,DHT featuring Edmee
2005,36,Scars,Papa Roach
2005,37,Feel Good Inc.,Gorillaz
2005,38,Let Me Go,3 Doors Down
2005,39,Holiday,Green Day
2005,40,"Sugar, We're Goin Down",Fall Out Boy
2005,41,Grind with Me,Pretty Ricky
2005,42,Run It!,Chris Brown featuring Juelz Santana
2005,43,Photograph,Nickelback
2005,44,Lonely,Akon
2005,45,Collide,Howie Day
2005,46,Wake Me Up When September Ends,Green Day
2005,47,Slow Down,Bobby Valentino
2005,48,Over and Over,Nelly featuring Tim McGraw
2005,49,Some Cut,Trillville featuring Cutty
2005,50,Get It Poppin',Fat Joe featuring Nelly
2005,51,Play,David Banner
2005,52,Soul Survivor,Young Jeezy featuring Akon
2005,53,Pimpin' All Over the World,Ludacris featuring Bobby Valentino
2005,54,My Boo,Usher and Alicia Keys
2005,55,Sugar (Gimme Some),"Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green"
2005,56,Karma,Alicia Keys
2005,57,Speed of Sound,Coldplay
2005,58,I Don't Want to Be,Gavin DeGraw
2005,59,Mockingbird,Eminem
2005,60,La Tortura,Shakira featuring Alejandro Sanz
2005,61,She Will Be Loved,Maroon 5
2005,62,Baby I'm Back,Baby Bash featuring Akon
2005,63,Wait (The Whisper Song),Ying Yang Twins
2005,64,Incomplete,Backstreet Boys
2005,65,Bring Em Out,T.I.
2005,66,Cater 2 U,Destiny's Child
2005,67,1 Thing,Amerie
2005,68,Best of You,Foo Fighters
2005,69,It's Like That,Mariah Carey featuring Jermaine Dupri and Fatman Scoop
2005,70,Goin' Crazy,Natalie
2005,71,Inside Your Heaven,Carrie Underwood
2005,72,Because of You,Kelly Clarkson
2005,73,Truth Is,Fantasia
2005,74,Your Body,Pretty Ricky
2005,75,Beautiful Soul,Jesse McCartney
2005,76,Cool,Gwen Stefani
2005,77,Get Back,Ludacris
2005,78,Outta Control,50 Cent featuring Mobb Deep
2005,79,U Don't Know Me,T.I.
2005,80,These Words,Natasha Bedingfield
2005,81,Don't Lie,The Black Eyed Peas
2005,82,Get Right,Jennifer Lopez
2005,83,Daughters,John Mayer
2005,84,As Good as I Once Was,Toby Keith
2005,85,Girlfight,Brooke Valentine featuring Lil Jon and Big Boi
2005,86,Lose My Breath,Destiny's Child
2005,87,Ordinary People,John Legend
2005,88,We Be Burnin',Sean Paul
2005,89,Just the Girl,The Click Five
2005,90,True,Ryan Cabrera
2005,91,O,Omarion
2005,92,Back Then,Mike Jones
2005,93,Numb/Encore,Jay-Z and Linkin Park
2005,94,Wonderful,Ja Rule featuring R. Kelly and Ashanti
2005,95,I'm Sprung,T-Pain
2005,96,Chariot,Gavin DeGraw
2005,97,U Already Know,112 featuring Foxy Brown
2005,98,Mississippi Girl,Faith Hill
2005,99,Number One Spot,Ludacris
2005,100,Give Me That,Webbie featuring Bun B
2006,1,Bad Day,Daniel Powter
2006,2,Temperature,Sean Paul
2006,3,Promiscuous,Nelly Furtado featuring Timbaland
2006,4,You're Beautiful,James Blunt
2006,5,Hips Don't Lie,Shakira featuring Wyclef Jean
2006,6,Unwritten,Natasha Bedingfield
2006,7,Crazy,Gnarls Barkley
2006,8,Ridin',Chamillionaire featuring Krayzie Bone
2006,9,SexyBack,Justin Timberlake featuring Timbaland
2006,10,Check on It,Beyoncé featuring Slim Thug and Bun B
2006,11,Be Without You,Mary J. Blige
2006,12,Grillz,Nelly featuring Paul Wall and Ali & Gipp
2006,13,Over My Head (Cable Car),The Fray
2006,14,Me & U,Cassie
